"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","15","SMBJ24ALFCT-ND","SMBJ24A","TVS DIODE 24V 38.9V DO214AA","","15","0","0.28900","4.34"
"2","15","SMBJ15ALFCT-ND","SMBJ15A","TVS DIODE 15V 24.4V DO214AA","","15","0","0.27700","4.16"
"3","25","455-1183-ND","VHR-2N","CONN HOUSING VH 2POS 3.96MM WHT","","25","0","0.07120","1.78"
"4","25","1727-1306-1-ND","PESD1CAN-UX","TVS DIODE 24V 50V SC70-3","","25","0","0.26360","6.59"
"5","15","401-2013-1-ND","AYZ0202AGRLC","SWITCH SLIDE DPDT 100MA 12V","HTTPS://WWW.DIGIKEY.COM/PRODUCT-DETAIL/EN/C-K/AY","15","0","1.17000","17.55"
"6","15","CT21910MST-ND","219-10MST","SWITCH SLIDE DIP SPST 100MA 20V","","15","0","1.02100","15.32"
"7","25","S5676-ND","NPTC062KFMS-RC","CONN HDR 12POS 0.1 TIN SMD","","25","0","1.22800","30.70"
"8","100","455-1319-1-ND","SVH-41T-P1.1","CONN SOCKET 16-20AWG CRIMP TIN","","100","0","0.06100","6.10"
"9","200","399-1099-1-ND","C0603C104M4RACTU","CAP CER 0.1UF 16V X7R 0603","CM C1 C9 C11 C12","200","0","0.01400","2.80"
"10","300","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","","300","0","0.02300","6.90"
"11","100","RNCP0603FTD499RCT-ND","RNCP0603FTD499R","RES 499 OHM 1% 1/8W 0603","","100","0","0.02300","2.30"
"12","120","PCE3750CT-ND","EEE-HC1C101XP","CAP ALUM 100UF 20% 16V SMD","","120","0","0.12000","14.40"
"13","25","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","25","0","0.03800","0.95"
"14","20","SAM8985-ND","TSM-105-01-T-DV","CONN HEADER SMD 10POS 2.54MM","","20","0","0.57300","11.46"
"15","15","CKN12222-1-ND","PTS526 SMG15 SMTR2 LFS","TACT 5.2 X 5.2, 1.5 MM H, 160GF,","","15","0","0.08200","1.23"
"16","2","1568-DEV-15583-ND","DEV-15583","TEENSY 4.0","","2","0","22.50000","45.00"
"17","20","754-1439-1-ND","APT3216QBC/D","LED BLUE CLEAR CHIP SMD","","20","0","0.30200","6.04"
"18","180","455-1792-1-ND","BM06B-SRSS-TB(LF)(SN)","CONN HEADER SMD 6POS 1MM","","180","0","0.57970","104.35"
"19","30","S2212EC-06-ND","PREC006DFAN-RC","CONN HEADER VERT 12POS 2.54MM","","30","0","0.20600","6.18"
"20","15","S6105-ND","PPTC052LFBN-RC","CONN HDR 10POS 0.1 TIN PCB","","15","0","0.51400","7.71"
"21","15","MCP2562FD-E/SN-ND","MCP2562FD-E/SN","IC TRANSCEIVER 1/1 8SOIC","","15","0","0.96000","14.40"
"22","15","MCP2562-E/SN-ND","MCP2562-E/SN","IC TRANSCEIVER HALF 1/1 8SOIC","","15","0","0.90000","13.50"
"23","15","LTC4359CMS8#PBF-ND","LTC4359CMS8#PBF","IC OR CTRLR N+1 8MSOP","","15","0","4.34000","65.10"
"24","15","BSC028N06NSATMA1CT-ND","BSC028N06NSATMA1","MOSFET N-CH 60V 23A TDSON-8","","15","0","1.63600","24.54"
"25","15","160-1737-1-ND","LTW-150TK","LED WHITE CHIP SMD","","15","0","0.40400","6.06"
"26","30","RMCF0603FT120RCT-ND","RMCF0603FT120R","RES 120 OHM 1% 1/10W 0603","","30","0","0.01400","0.42"
"27","20","311-1.0KGRCT-ND","RC0603JR-071KL","RES SMD 1K OHM 5% 1/10W 0603","","20","0","0.01700","0.34"
"28","20","445-174769-1-ND","C1608X7S1C155K080AC","CAP CER 1.5UF 16V X7S 0603","","20","0","0.13600","2.72"
"29","50","455-1749-1-ND","S2B-PH-SM4-TB(LF)(SN)","CONN HEADER SMD R/A 2POS 2MM","J9","50","0","0.46500","23.25"
"30","100","P16854CT-ND","EVP-ASAC1A","SWITCH TACTILE SPST-NO 0.05A 12V","","100","0","0.38100","38.10"
"31","100","EG1866-ND","TL1105DF250Q","SWITCH TACTILE SPST-NO 0.05A 12V","","100","0","0.12600","12.60"
"32","15","CKN12245-1-ND","JS207011SCQNR","SWITCH SLIDE DP3T 300MA 6V","","15","0","0.93100","13.97"
"33","15","SMAT70A-FDICT-ND","SMAT70A-13-F","TVS DIODE 70V 100V SMA","","15","0","0.46700","7.01"
"34","15","DDZ9699DICT-ND","DDZ9699-7","DIODE ZENER 12V 500MW SOD123","","15","0","0.22400","3.36"
"35","100","455-1127-1-ND","SPH-002T-P0.5S","CONN SOCKET 24-30AWG CRIMP TIN","","100","0","0.02700","2.70"
"36","50","455-1165-ND","PHR-2","CONN HOUSING PH 2POS 2MM WHITE","","50","0","0.05000","2.50"
"37","120","455-2249-ND","B4B-XH-A(LF)(SN)","CONN HEADER VERT 4POS 2.5MM","","120","0","0.11500","13.80"
"38","2","Z6363CT-ND","EE-SX1320","SENSOR OPT SLOT PHOTOTRANS MODUL","","2","0","1.18000","2.36"
"39","2","1855-1009-ND","GP1S094HCZ0F","SENSOR OPT SLOT PHOTOTRAN PCB MT","","2","0","0.60000","1.20"
"40","2","846-1021-ND","RPI-441C1E","SENSOR OPT SLOT TRANSISTOR MODUL","","2","0","1.09000","2.18"
"41","16","455-3007-ND","A06SR06SR30K305A","JUMPER 06SR-3S - 06SR-3S 12""","","16","0","1.54300","24.69"
"42","25","MCP2562FD-H/SN-ND","MCP2562FD-H/SN","IC TRANSCEIVER 1/1 8SOIC","","25","0","0.87000","21.75"
