"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","4","1727-7258-1-ND","BUK768R3-60E,118","MOSFET N-CH 60V 75A D2PAK","","4","0","1.14000","4.56"
"2","5","SMBJ24ALFCT-ND","SMBJ24A","TVS DIODE 24V 38.9V DO214AA","","5","0","0.39000","1.95"
"3","5","SMBJ15ALFCT-ND","SMBJ15A","TVS DIODE 15V 24.4V DO214AA","","5","0","0.37000","1.85"
"4","5","296-43067-1-ND","LM74610QDGKRQ1","IC SMART DIODE CTLR 8VSSOP","","5","0","2.05000","10.25"
"5","10","455-1183-ND","VHR-2N","CONN HOUSING VH 2POS 3.96MM WHT","","10","0","0.09600","0.96"
"6","10","455-1133-1-ND","SVH-21T-P1.1","CONN SOCKET 18-22AWG CRIMP TIN","","10","0","0.10700","1.07"
"7","15","SX1509BIULCT-ND","SX1509BIULTRT","IC GPIO EXPANDER I2C 16CH 28QFN","","15","0","1.85700","27.86"
"8","10","1727-1306-1-ND","PESD1CAN-UX","TVS DIODE 24V 50V SC70-3","","10","0","0.29500","2.95"
"9","10","2183-2971-ND","2971","DRV8880 STEPPER MTR DRVR CARRIER","","10","0","6.95000","69.50"
"10","10","401-2013-1-ND","AYZ0202AGRLC","SWITCH SLIDE DPDT 100MA 12V","HTTPS://WWW.DIGIKEY.COM/PRODUCT-DETAIL/EN/C-K/AY","10","0","1.17000","11.70"
"11","10","296-26344-1-ND","SN65HVD232DR","IC TRANSCEIVER HALF 1/1 8SOIC","","10","0","1.53100","15.31"
"12","10","CT21910MST-ND","219-10MST","SWITCH SLIDE DIP SPST 100MA 20V","","10","0","1.02100","10.21"
"13","10","S5675-ND","NPTC052KFMS-RC","CONN HDR 10POS 0.1 TIN SMD","","10","0","0.98500","9.85"
"14","20","S5676-ND","NPTC062KFMS-RC","CONN HDR 12POS 0.1 TIN SMD","","20","0","1.22800","24.56"
"15","10","455-3990-ND","VHR-4M","CONN HOUSING VH 4POS 3.96MM WHT","","10","0","0.14500","1.45"
"16","10","455-1650-ND","B4PS-VH(LF)(SN)","CONN HEADER R/A 4POS 3.96MM","","10","0","0.28700","2.87"
"17","100","455-1319-1-ND","SVH-41T-P1.1","CONN SOCKET 16-20AWG CRIMP TIN","","100","0","0.06100","6.10"
"18","10","SAM1048-06-ND","TSW-106-08-T-D","CONN HEADER VERT 12POS 2.54MM","","10","0","0.58100","5.81"
"19","100","1276-1183-1-ND","CL10A225KQ8NNNC","CAP CER 2.2UF 6.3V X5R 0603","","100","0","0.02900","2.90"
"20","200","399-1099-1-ND","C0603C104M4RACTU","CAP CER 0.1UF 16V X7R 0603","CM C1 C9 C11 C12","200","0","0.01400","2.80"
"21","100","1276-1907-1-ND","CL10A475MQ8NNNC","CAP CER 4.7UF 6.3V X5R 0603","","100","0","0.02100","2.10"
"22","200","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","","200","0","0.02300","4.60"
"23","100","RNCP0603FTD499RCT-ND","RNCP0603FTD499R","RES 499 OHM 1% 1/8W 0603","","100","0","0.02300","2.30"
"24","100","541-60.4HCT-ND","CRCW060360R4FKEA","RES SMD 60.4 OHM 1% 1/10W 0603","","100","0","0.01390","1.39"
"25","30","PCE3750CT-ND","EEE-HC1C101XP","CAP ALUM 100UF 20% 16V SMD","","30","0","0.12000","3.60"
"26","25","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","25","0","0.03800","0.95"
"27","100","455-2243-ND","S4B-XH-A(LF)(SN)","CONN HEADER R/A 4POS 2.5MM","","100","0","0.15200","15.20"
"28","20","SAM8985-ND","TSM-105-01-T-DV","CONN HEADER SMD 10POS 2.54MM","","20","0","0.57300","11.46"
"29","25","CKN12222-1-ND","PTS526 SMG15 SMTR2 LFS","TACT 5.2 X 5.2, 1.5 MM H, 160GF,","","25","0","0.07920","1.98"
"30","2","1568-DEV-15583-ND","DEV-15583","TEENSY 4.0","","2","0","22.50000","45.00"
"31","10","296-29408-1-ND","CD74HC4067M96","IC MUX/DEMUX 1X16 24SOIC","","10","0","0.59900","5.99"
"32","10","MCP2562FDT-E/SNCT-ND","MCP2562FDT-E/SN","IC TRANSCEIVER 1/1 8SOIC","","10","0","0.96000","9.60"
"33","10","MCP2562-E/SN-ND","MCP2562-E/SN","IC TRANSCEIVER HALF 1/1 8SOIC","","10","0","0.90000","9.00"
"34","20","754-1439-1-ND","APT3216QBC/D","LED BLUE CLEAR CHIP SMD","","20","0","0.30200","6.04"
"35","2","1528-1710-ND","2759","ADDRESS LED DISC SER RGBW 1=10","","2","0","5.95000","11.90"
"36","30","455-1792-1-ND","BM06B-SRSS-TB(LF)(SN)","CONN HEADER SMD 6POS 1MM","","30","0","0.67200","20.16"
"37","30","455-1806-1-ND","SM06B-SRSS-TB(LF)(SN)","CONN HEADER SMD R/A 6POS 1MM","","30","0","0.78200","23.46"
"38","25","455-3019-ND","A06SR06SR30K305B","JUMPER 06SR-3S - 06SR-3S 12""","","25","0","1.44800","36.20"
